convex_hull_volume,distance_from_center_of_field_to_target,residual_avg,error
61.79522264,14.60341246,0.09557788,0.223700854
267.3732547,12.53486967,0.050277384,0.470451526
50,13.14944019,0.012127374,0.430835711
100,9.058511174,0.067451967,0.578187321
137.2016944,11.83680271,0.077605784,0.735661406
20.00722545,7.253057259,0.158204933,6.886196105
199.578689,7.642116218,0.299084302,0.700488714
100.3414184,11.87705827,1.267478048,0.499641057
139.6949339,9.125111098,0.323175997,0.0640385
181.7759177,4.838880498,1.944162829,1.368434967
203.8906695,11.84617966,7.254530197,4.446418109
154.5488493,11.1674994,0.840106082,0.590606076
7.985114169,15.00188393,26.99304391,12.90645809
165.7095096,8.904517967,0.781989137,1.165598987
179.3010128,11.173233,0.933268512,0.639965424
204.6710305,11.90030689,4.587863326,2.467764257
75.12768368,19.67930517,0.03446543,1.734934018
116.5515864,12.57664502,3.541551086,3.616618227
348.5864014,15.43419124,0.292285591,1.444374454
0.412758899,11.5486777,3.802082351,9.6861324
297.5037617,15.2798103,4.907344878,3.386380597
196.8041109,16.42254279,9.534922124,7.678288678
100,11.4756601,0.444747866,0.51706389
24.76321275,8.926973733,0.150870653,0.433250116
78.32703644,9.905731942,0.124989193,0.327758139
141.1392209,4.739130323,0.163230475,0.879495013
8.538931993,11.96760257,0.024844637,2.135811898
98.91433905,8.273986567,0.683454833,0.480006875
123.0312917,8.758975547,0.254643821,0.372084954
44.04665231,5.118664197,0.627985255,5.456191955
161.7780151,9.501213018,0.168096834,0.794209014
174.5337684,5.026086512,0.123186121,0.199993705
124.0378022,6.956645497,0.413581926,1.815079273
69.16781614,18.43665577,0.055044484,1.455082279
67.50995189,17.55141952,0.874864545,2.118779141
148.0547208,7.542013804,0.602988434,0.112317849
279.0641435,3.647042873,1.719573995,0.504161772
193.7676721,15.16658246,0.979944478,1.225786856
298.8955696,10.55961511,0.15896997,0.982779071
86.90085956,18.4995424,0.30347665,2.541252353
163.3010083,14.36991841,0.458293161,0.321737264
159.8708106,17.19918039,1.915484284,1.667916708
50,12.88740846,0.064949968,0.698845508
100,4.931440764,0.047876136,0.55528465
50,4.485078296,0.005861786,0.308179529
139.6086184,6.052390705,0.056540411,0.424646689
101.3751761,8.594950735,0.09598922,0.654984844
116.0499639,7.574195608,0.116545273,0.455672941
18.23092551,14.21155476,0.021004025,0.549377324
72.89111816,14.79628409,0.010771647,1.414241703
41.68705328,12.21778539,0.225412927,0.508889937
80.59711933,10.27915402,0.102952078,0.059062697
62.11870945,11.06854786,0.372798221,0.773057435
207.9828836,6.863341117,0.775118232,0.590668037
74.87207041,10.14504688,0.1869419,0.725593743
94.6794734,13.02430382,0.356826112,0.747010697
200.3281483,11.86725216,0.399375453,0.456726156
184.4756375,12.25017695,0.644290767,1.495103868
212.0059932,5.116596565,0.182399735,0.191841694
142.7096895,10.64764135,0.441652089,0.488347787
120.003928,15.18955809,0.148613673,0.50701991
92.24033172,19.38581671,0.23783424,0.262903274
50,3.952405265,0.153407533,0.732494576
1.433479316,13.10593694,1.34E-05,2.102136002
85.59726358,10.07765357,0.175444969,1.345663391
11.76127025,7.837483498,0.082003103,10.67345087
35.58038602,17.83140778,0.131618411,3.295829552
10.32779093,8.880296128,0.222979629,0.268868178
67.53949803,9.316549862,0.029014502,0.349697831
101.2795982,13.63310693,0.515979106,2.770373281
15.76456617,9.839001551,0.087185523,2.103113565
195.4171207,10.54489783,1.030888878,0.485344482
123.7514643,12.89216034,0.79137503,0.798858567
244.2593855,8.653224081,5.113569089,3.308309472
192.8995942,19.96908961,0.365316951,1.736685014
290.4609989,14.74703283,0.695787787,1.191288779
150.8774539,16.44483286,0.608038257,1.665372903
275.795167,15.76018394,0.531661752,1.427363558
0.17968544,21.21320344,182.6360427,28.26039632
212.3352353,13.19715839,1.318863119,1.002188848
45.54779832,18.03510282,0.282227206,1.504894344
49.82854998,14.66538569,16.30734981,24.32119666
50,14.91981328,0.016634421,0.42402879
50,11.85388714,0.009348982,0.545165265
50,6.41963257,0.010747196,0.513045782
6.78886201,12.89643255,0.709148014,1.710125524
94.78211928,10.41218365,0.047457869,0.446310583
29.44525706,6.747165197,0.032955809,1.101374576
127.2921841,11.97338219,0.159769517,0.909914253
143.240673,16.41676472,0.057866808,0.496683767
163.9889665,11.69512424,0.068419861,0.811515522
63.26656623,12.25174189,0.221989679,0.571569275
320.7615228,3.883508446,0.328841114,0.66601294
237.3181847,14.83529027,0.247766157,0.710625486
138.5863115,15.28729547,0.557791581,0.822594758
38.78296462,16.92083205,0.172709158,1.298876607
169.9843323,16.38856582,0.302314525,0.064892937
204.4218949,6.129548895,0.501724092,0.770770921
95.1696461,16.22742257,0.299011656,0.497391559
246.5465385,14.40766947,0.286125687,0.257905756
206.5308353,18.38015969,0.469431692,1.377189656
183.9201611,19.54271428,0.270008175,0.560907266
50,7.740760375,0.064920355,1.015502848
12.57971562,7.378546706,0.872232685,0.188494799
57.92498177,11.69495681,0.180222509,0.74344296
100,8.072531945,0.260732192,0.378372492
138.4159583,7.326548824,0.393199196,0.478134837
114.8882059,4.166790562,0.515407113,0.144117618
76.9008736,12.25560051,0.6737455,0.2700095
134.0715112,8.789178146,0.369389988,0.395184231
120.9005155,8.324265834,0.413867886,0.350094635
41.94292431,14.78252587,0.45754618,0.915717987
37.09181414,9.804431705,0.045948966,0.715437677
162.5955937,11.39843947,0.274614849,0.219618393
3.564581226,13.18005594,0.167606428,8.887367623
131.5360432,11.01354087,3.311934807,1.4098041
116.3861497,10.63530688,8.842817307,1.561017532
101.7809569,14.21190335,0.570035892,0.292132602
106.3989178,16.11396201,0.123109258,0.521428627
194.4220173,14.31841273,0.709414018,0.860059345
62.12077746,18.54491732,5.591278142,4.199574731
157.2713958,19.63378743,8.070842644,3.337741066
50,4.460682019,0.045004406,1.031784897
9.637347691,15.01616987,0.048826584,0.889061847
31.53148084,4.740607963,0.00047849,1.531958093
90.24181742,8.286418136,0.226293084,0.164988873
40.36265231,12.43955185,0.270009025,0.28091244
47.68876665,14.30974873,0.714824409,0.57465375
102.3987709,13.0757608,0.129071986,0.636882286
76.39281833,12.45738867,1.152512576,0.850158202
134.6640628,8.27039404,1.075064387,0.052275538
73.31068162,13.17007422,0.030983446,0.222799588
118.8220587,12.09435445,0.414317456,0.950240857
77.58681996,12.90680234,0.214474251,0.842308637
150.7633911,12.27217796,0.158366676,0.160175137
168.6426158,1.70019348,0.57970665,0.73355395
165.8890717,9.05531357,0.493406709,0.706766602
196.3664113,12.80741331,0.600018815,0.615598814
187.3087978,16.12122661,0.500697932,0.048773942
242.103474,13.11439904,0.400421406,0.326385325
131.5475201,12.52383304,0.392803346,0.580033453
66.07784748,16.8990533,0.250979158,0.299572004
100,5.36915447,0.091686352,0.605563966
50,8.97346584,0.141780249,0.659687679
