convex_hull_volume,distance_from_center_of_field_to_target,residual_avg,error
248.5845999,11.80904333,0.438617925,0.55647064
184.4640621,5.508626541,0.313065547,0.205877948
141.3289274,4.98310842,0.270867726,0.616316342
50,5.587658507,0.03499888,0.469968296
6.648443167,6.043073644,0.084956265,1.098413461
89.60123591,4.994098228,0.108305216,0.549978745
92.29148462,11.94790481,0.455889835,0.796302692
40.08418654,12.54924218,0.62483106,0.691731362
85.17569366,12.47429626,0.036457966,0.695747986
141.1425606,5.419757645,0.685561461,0.548042846
56.55517445,11.99962333,0.140656209,0.218509538
51.20813095,16.44159056,0.230394873,0.582377214
100,5.179401016,0.28511724,0.383516026
7.999349598,15.02824936,39.96736232,26.40200039
150,12.39864809,2.77769476,2.737310873
212.2287371,3.925716382,9.059083862,1.886418538
212.2287371,4.105970106,11.33717505,3.266885857
75.91440181,9.909725328,10.01207383,21.72142788
136.6836079,6.126004832,1.143522143,1.303934862
144.0753188,1.965331323,6.835413524,10.91625684
68.40798038,8.931071398,27.69114954,15.66030297
100,5.291767035,0.047426275,0.19123515
6.976967991,5.980887141,13.20807299,6.384605147
43.02303201,5.101786139,0.01080983,1.054715116
91.70639044,6.671383137,3.589723736,1.51638151
101.033924,5.285342088,5.581216778,1.70917963
33.73964607,12.43190703,0.013804336,2.628522945
136.7832753,11.31155481,0.946465531,1.520236446
86.78327533,12.71239329,2.349928117,2.853852327
63.0918109,15.70321512,0.06970507,2.909635336
50,5.010722563,0.152582154,0.423625068
100,5.385206604,0.190745029,0.084675017
38.07885354,16.23750334,0.004975445,0.328714889
75.19489497,12.18791392,0.019259836,0.513928055
82.51212747,11.2088996,0.067409006,0.65365366
133.4135131,5.635230593,0.183867547,0.572412594
201.4316002,5.676203409,0.296795826,0.794648298
114.9668346,11.03966215,0.209704101,0.957401035
208.6968291,11.84435629,0.284381385,0.251318388
100,5.03269342,0.021447365,0.320770073
50,5.113694787,0.130242301,0.205355409
51.18624483,12.21122992,0.642121114,0.798995633
100,5.471090222,0.304192827,0.168904319
44.41267664,5.388751988,0.183600663,0.365485769
84.20185218,11.6721235,0.385937299,0.898911063
50.547615,11.99575972,0.016386688,0.53046442
105.3538599,15.76855476,0.377419152,0.717069381
106.8758405,12.13617026,0.16071164,0.502209526
50,12.13356273,0.004821241,0.532618636
50,5.348348508,0.158556533,0.458424825
100,5.406730258,0.066149909,0.491566919
37.67978563,5.130529134,0.425599389,1.277100974
7.049361872,12.03454088,0.024973834,0.269435856
11.76231351,11.0621485,0.293991799,1.344164017
174.8063849,4.949346699,0.396576374,0.383046687
60.50303897,12.19738549,0.436789137,0.951266327
59.99848651,15.48381256,0.054443548,0.469370827
50,12.27606932,0.02489218,0.971087238
50,5.287273953,0.010515823,0.343201916
50,11.46539885,0.016005238,0.40488842
71.97835782,5.392798134,0.155414107,1.005871185
122.2100051,5.27174331,0.158052937,0.578654357
74.16593278,5.099548888,0.287893745,0.205190201
106.370333,11.96482359,0.500539089,1.081738165
54.65238494,16.22287499,0.023931368,0.910230433
251.8072603,12.31690306,0.254912996,0.7580946
50,6.050601814,0.025192047,0.770063881
50,12.10155053,0.012286024,0.657323582
81.35287549,6.084085369,0.184828114,0.846590288
86.18637085,4.613714389,0.1331464,0.742282297
92.94958644,4.993973316,0.289691109,0.430132386
9.61868879,12.05723857,0.001460279,1.086799273
82.0733256,12.26606117,0.381138138,0.76981526
42.65103397,11.71089075,0.165376201,0.72147136
102.4396675,15.47906722,0.046461025,1.111606959
100,15.83922844,0.123112178,1.037519668
34.53066598,5.739024922,0.155447193,0.464243226
100,4.645841587,0.03353565,0.694359476
111.7621579,11.66732665,0.533946561,0.697114639
100,5.310703169,0.170331805,0.163110377
29.28633467,11.96028016,0.087314965,1.343150352
79.41174471,12.00931571,0.061463726,1.543416699
242.0564906,5.138364857,0.165775735,0.490674574
149.2968,12.02901379,0.487568237,0.428491567
100,4.801574496,0.111156917,0.581635347
1.978807809,12.55867489,0.819021629,5.610955138
138.8027252,11.34112326,2.560026257,2.155982532
72.04534161,5.26162872,0.412425319,0.418671525
